ad_set,ad,direction,ratio,path
AS_Lawsuit_NW,Creditor_Suing,stilllife,1x1,creatives/Creditor_Suing/Creditor_Suing_stilllife_1x1.png
AS_Lawsuit_NW,Creditor_Suing,stilllife,4x5,creatives/Creditor_Suing/Creditor_Suing_stilllife_4x5.png
AS_Lawsuit_NW,Creditor_Suing,stilllife,9x16,creatives/Creditor_Suing/Creditor_Suing_stilllife_9x16.png
AS_Lawsuit_NW,Creditor_Suing,stilllife,1.91x1,creatives/Creditor_Suing/Creditor_Suing_stilllife_1.91x1.png
AS_Lawsuit_NW,Creditor_Suing,video,9x16,creatives/Creditor_Suing/Creditor_Suing_video_9x16.mp4
AS_Lawsuit_NW,Served_Papers,illustration,1x1,creatives/Served_Papers/Served_Papers_illustration_1x1.png
AS_Lawsuit_NW,Served_Papers,illustration,4x5,creatives/Served_Papers/Served_Papers_illustration_4x5.png
AS_Lawsuit_NW,Served_Papers,illustration,9x16,creatives/Served_Papers/Served_Papers_illustration_9x16.png
AS_Lawsuit_NW,Served_Papers,illustration,1.91x1,creatives/Served_Papers/Served_Papers_illustration_1.91x1.png
AS_Lawsuit_NW,Served_Papers,photo,1x1,creatives/Served_Papers/Served_Papers_photo_1x1.png
AS_Lawsuit_NW,Served_Papers,photo,4x5,creatives/Served_Papers/Served_Papers_photo_4x5.png
AS_Lawsuit_NW,Served_Papers,photo,9x16,creatives/Served_Papers/Served_Papers_photo_9x16.png
AS_Lawsuit_NW,Served_Papers,photo,1.91x1,creatives/Served_Papers/Served_Papers_photo_1.91x1.png
AS_Lawsuit_NW,Served_Papers,stilllife,1x1,creatives/Served_Papers/Served_Papers_stilllife_1x1.png
AS_Lawsuit_NW,Served_Papers,stilllife,4x5,creatives/Served_Papers/Served_Papers_stilllife_4x5.png
AS_Lawsuit_NW,Served_Papers,stilllife,9x16,creatives/Served_Papers/Served_Papers_stilllife_9x16.png
AS_Lawsuit_NW,Served_Papers,stilllife,1.91x1,creatives/Served_Papers/Served_Papers_stilllife_1.91x1.png
AS_Lawsuit_NW,Served_Papers,video,9x16,creatives/Served_Papers/Served_Papers_video_9x16.mp4
AS_Harassment_NW,Creditor_Harassment,illustration,1x1,creatives/Creditor_Harassment/Creditor_Harassment_illustration_1x1.png
AS_Harassment_NW,Creditor_Harassment,illustration,4x5,creatives/Creditor_Harassment/Creditor_Harassment_illustration_4x5.png
